id;uga;etablissement;adresse;cp;ville;tel;lat;lon
1;92NEU;;1 ALLEE CLAUDE MONET;92200;LEVALLOIS PERRET;09 81 96 61 44;48.8979392;2.2725345
2;92LEV;;1 ALLEE PIERRE BURELLE;92300;LEVALLOIS PERRET;01 55 63 32 32;48.896257;2.2851562
3;75INV;;1 AVENUE DE LOWENDAL;75007;PARIS;01 45 63 18 43;48.853681;2.3103697
4;75INV;;1 BIS AVENUE FRANCO RUSSE;75007;PARIS;01 42 73 12 80;48.8600996;2.2989857
5;75INV;;1 BIS PASSAGE DE LA VIERGE;75007;PARIS;01 71 28 23 46;48.8558567;2.3067922
6;92LEV;;1 BIS RUE COLLANGE;92300;LEVALLOIS PERRET;;48.8985086;2.2928865
7;75INV;;1 BOULEVARD DU MONTPARNASSE;75007;PARIS;01 45 67 00 91;48.8468546;2.317211
8;75INV;;1 PLACE JOFFRE;75007;PARIS;01 44 42 58 61;48.8540234;2.3055622
9;75TER;;1 PLACE JULES RENARD;75017;PARIS;01 56 79 67 27;48.8845008;2.2888822
10;75PER;;1 RUE DE CHAZELLES;75017;PARIS;01 53 10 10 01;48.8795003;2.3032989
11;75INV;;1 RUE DE NARBONNE;75007;PARIS;;48.853043;2.3250028
12;75INV;;1 RUE DE VILLERSEXEL;75007;PARIS;01 42 22 25 95;48.8581902;2.3236202
13;75INV;;1 RUE DU MARECHAL HARISPE;75007;PARIS;;48.8584355;2.2984769
14;92LEV;;1 RUE DU PARC;92300;LEVALLOIS PERRET;01 69 48 46 78;48.897725;2.2838973
15;75PER;;1 RUE DU PRINTEMPS;75017;PARIS;01 47 66 78 00;48.8868503;2.3087576
16;75MNP;;1 RUE ERNEST RENAN;75015;PARIS;01 47 34 71 44;48.8443635;2.3093451
17;75TRO;;1 RUE GOETHE;75016;PARIS;01 45 53 13 27;48.866252;2.2989387
18;75TER;;1 RUE LAMENNAIS;75017;PARIS;01 42 89 83 30;48.8735391;2.3032494
19;75MNP;;1 RUE MIZON;75015;PARIS;01 43 22 14 44;48.8413124;2.3152838
20;75VAU;;1 RUE OLIVIER DE SERRES;75015;PARIS;;48.8370967;2.2987323
21;75TRO;;1 VILLA BOISSIERE;75016;PARIS;09 54 40 63 27;48.8662317;2.2906247
22;75TRO;;10 AVENUE D EYLAU;75016;PARIS;01 47 64 33 33;48.8641131;2.2857525
23;75INV;;10 AVENUE DANIEL LESUEUR;75007;PARIS;01 43 06 61 12;48.8476629;2.3174539
24;75TER;;10 RUE BREY;75017;PARIS;01 45 74 93 60;48.8763775;2.2960002
25;75MNP;;10 RUE BROWN SEQUARD;75015;PARIS;01 43 20 05 00;48.8411818;2.3155918
26;92NEU;;10 RUE DE L HOTEL DE VILLE;92200;NEUILLY-SUR-SEINE;01 46 37 48 83;48.8834373;2.2683203
27;75INV;;10 RUE DE ST SIMON;75007;PARIS;01 42 22 41 55;48.8562151;2.3238264
28;75ELY;;10 RUE DU DOCTEUR LANCEREAUX;75008;PARIS;;48.8764544;2.3113096
29;75GRE;;10 RUE DU LAOS;75015;PARIS;01 43 31 57 24;48.8500929;2.3009891
30;75PER;;10 RUE EDOUARD DETAILLE;75017;PARIS;01 58 05 35 50;48.8833378;2.3058827
31;75TRO;;10 RUE FREYCINET;75016;PARIS;01 40 70 15 16;48.865644;2.2982217
32;75TRO;;10 RUE GEORGES VILLE;75016;PARIS;01 45 00 11 99;48.8702613;2.2892335
33;75PAS;;10 RUE JEAN RICHEPIN;75016;PARIS;;48.8617546;2.2741799
34;75GRE;;10 RUE LACORDAIRE;75015;PARIS;01 45 77 46 86;48.8444064;2.2846134
35;75TRO;;10 RUE LAURENT PICHAT;75016;PARIS;01 44 05 90 50;48.8737135;2.2826096
36;75TRO;;10 RUE LEROUX;75016;PARIS;01 45 01 50 92;48.8714574;2.2870614
37;75PER;;10 RUE MARGUERITTE;75017;PARIS;;48.8799928;2.3014649
38;75INV;;10 RUE PIERRE LEROUX;75007;PARIS;01 77 85 53 00;48.8496702;2.3188579
39;75PAS;;10 RUE RAYNOUARD;75016;PARIS;01 42 30 98 12;48.857788;2.2837992
40;75ELY;;10 RUE ROYALE;75008;PARIS;01 42 66 47 82;48.8678578;2.323091
41;92NEU;;10 RUE ST PIERRE;92200;NEUILLY-SUR-SEINE;01 46 37 62 33;48.8823777;2.2709475
42;75VAU;HÔP VAUGIRARD;10 RUE VAUGELAS;75015;PARIS;01 40 45 80 43;48.8344353;2.2946627
43;75GRE;;10-12 VILLA THORETON;75015;PARIS;;48.8374581;2.2849979
44;75INV;;101 RUE ST DOMINIQUE;75007;PARIS;01 40 59 91 82;48.8594826;2.3065868
45;75TER;;102 AVENUE DES CHAMPS ELYSEES;75017;PARIS;;48.8718265;2.3022902
46;75AUT;;102 RUE BOILEAU;75016;PARIS;0`    ;48.8396093;2.2614901
47;92LEV;;103 RUE ARISTIDE BRIAND;92300;LEVALLOIS PERRET;01 47 37 22 80;48.8945318;2.2930941
48;75ELY;;103 RUE DE MIROMESNIL;75008;PARIS;01 43 59 01 91;48.8806731;2.3152952
49;75MNP;;104 RUE CAMBRONNE;75015;PARIS;01 45 67 23 95;48.8409434;2.3037524
50;75AUT;;104 RUE MICHEL ANGE;75016;PARIS;;48.8402458;2.2579627
51;75TRO;;105 AVENUE VICTOR HUGO;75016;PARIS;01 47 55 44 25;48.8262324;2.2931522
52;75PER;;105 BOULEVARD PEREIRE;75017;PARIS;;48.8859322;2.2998346
53;75PER;;105 RUE DE COURCELLES;75017;PARIS;01 42 67 69 57;48.8818816;2.3002176
54;75GRE;MDS JEANNE GARNIER;106 AVENUE EMILE ZOLA;75015;PARIS;01 43 92 21 22;48.8466349;2.2897169
55;75TRO;;106 AVENUE KLEBER;75016;PARIS;01 42 53 20 20;48.8650763;2.2884537
56;92LEV;;106 RUE BAUDIN;92300;LEVALLOIS PERRET;01 55 46 99 99;48.8979892;2.2848212
57;75AUT;;106 RUE JEAN DE LA FONTAINE;75016;PARIS;01 45 25 20 64;48.8493259;2.2669802
58;75TRO;;108 AVENUE VICTOR HUGO;75016;PARIS;;48.8685478;2.2823964
59;75INV;;108 RUE DU BAC;75007;PARIS;01 45 49 07 06;48.8531784;2.3236611
60;75GRE;;108 RUE DU THEATRE;75015;PARIS;01 45 79 62 87;48.8463298;2.2946412
61;92NEU;;109 AVENUE CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;01 47 47 66 02;48.8812173;2.2705301
62;75INV;;109 RUE DE L UNIVERSITE;75007;PARIS;01 45 50 19 45;48.8610672;2.3109751
63;75GRE;;109 RUE ST CHARLES;75015;PARIS;01 45 77 81 97;48.8452849;2.2845461
64;75TRO;;11 AVENUE D EYLAU;75016;PARIS;01 45 53 27 62;48.8639334;2.2853305
65;75TRO;;11 AVENUE RAYMOND POINCARE;75016;PARIS;01 56 62 10 77;48.8643161;2.2865439
66;92NEU;;11 BIS AVENUE DE MADRID;92200;NEUILLY-SUR-SEINE;01 47 22 98 61;48.8829982;2.2598909
67;75TER;;11 BIS AVENUE MAC MAHON;75017;PARIS;01 44 09 73 69;48.8759828;2.2944153
68;75TER;;11 BIS PASSAGE DOISY;75017;PARIS;01 42 25 59 44;48.8780928;2.2922143
69;75PER;;11 BIS RUE AMPERE;75017;PARIS;;48.8851978;2.3061793
70;75INV;;11 BIS RUE CESAR FRANCK;75007;PARIS;01 45 24 01 24;48.8470858;2.309079
71;75INV;;11 BIS AVENUE ELISEE RECLUS;75007;PARIS;;48.8582298;2.2979608
72;75MNP;;11 PLACE ADOLPHE CHERIOUX;75015;PARIS;01 80 50 38 36;48.8399814;2.3011222
73;75TER;;11 RUE ANATOLE DE LA FORGE;75017;PARIS;09 87 15 68 05;48.8763416;2.2923243
74;75AUT;HÔP STE-PÉRINE;11 RUE CHARDON LAGACHE;75016;PARIS;01 44 96 31 54;48.8453132;2.2669561
75;92NEU;;11 RUE D ORLEANS;92200;NEUILLY-SUR-SEINE;;48.8814608;2.2722982
76;75GRE;;11 RUE DE LA CONVENTION;75015;PARIS;01 45 75 69 70;48.8455011;2.278471
77;75AUT;;11 RUE DE LA SOURCE;75016;PARIS;01 55 74 27 00;48.8511211;2.2681179
78;75PAS;;11 RUE DE LA TOUR;75016;PARIS;01 45 04 37 19;48.8590529;2.28319
79;75AUT;MDS MARY JACOBI;11 RUE DE VARIZE;75016;PARIS;01 45 27 15 33;48.8410129;2.2576472
80;75ELY;;11 RUE DE VEZELAY;75008;PARIS;01 45 61 18 07;48.8784498;2.3139265
81;75AUT;;11 RUE DES PERCHAMPS;75016;PARIS;01 42 15 15 75;48.8481688;2.2671928
82;92NEU;;11 RUE DU GENERAL CORDONNIER;92200;NEUILLY-SUR-SEINE;01 47 45 24 95;48.8840501;2.27494
83;75AUT;;11 RUE DU GENERAL NIOX;75016;PARIS;01 45 65 61 24;48.8366293;2.2638232
84;75GRE;;11 RUE DUPLEIX;75015;PARIS;01 45 67 98 76;48.8517391;2.2980578
85;75INV;;11 RUE EBLE;75007;PARIS;01 40 54 30 04;48.8489409;2.3133137
86;75VAU;;11 RUE EUGENE GIBEZ;75015;PARIS;;48.8355489;2.2954091
87;75PER;;11 RUE LEON COGNIET;75017;PARIS;;48.8813087;2.302483
88;75TRO;;11 RUE MAGELLAN;75016;PARIS;01 47 20 82 00;48.870434;2.2997712
89;75ELY;;11 RUE VIGNON;75008;PARIS;01 40 06 04 49;48.8709634;2.3261114
90;75PER;;110 AVENUE DE VILLIERS;75017;PARIS;01 42 27 97 67;48.8849142;2.2985786
91;92NEU;;111 AVENUE CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;01 46 37 72 02;48.8814173;2.2698981
92;75VAU;;111 RUE OLIVIER DE SERRES;75015;PARIS;01 40 50 66 88;48.8312362;2.2926857
93;75PER;;112 BOULEVARD PEREIRE;75017;PARIS;01 47 63 87 20;48.8857803;2.298096
94;75INV;;112 RUE DE VAUGIRARD;75007;PARIS;;48.8457289;2.3219402
95;75MNP;;112 RUE LECOURBE;75015;PARIS;01 43 06 40 12;48.8427566;2.3028335
96;75MNP;;113 117 RUE CAMBRONNE;75015;PARIS;01 56 58 04 44;48.8426951;2.3026387
97;75AUT;;114 AVENUE MOZART;75016;PARIS;01 45 25 08 82;48.8502534;2.2668038
98;92LEV;;114 RUE BAUDIN;92300;LEVALLOIS PERRET;01 47 39 32 34;48.8979892;2.2848212
99;75INV;;114 RUE DE VAUGIRARD;75007;PARIS;01 42 84 09 20;48.8456433;2.3217822
100;92LEV;;114 RUE VICTOR HUGO;92300;LEVALLOIS PERRET;01 55 91 75 00;48.8968453;2.2957763
101;75AUT;;116 AVENUE DE VERSAILLES;75016;PARIS;01 42 88 29 25;48.8422818;2.2680259
102;75GRE;;117 RUE DU THEATRE;75015;PARIS;01 45 75 11 88;48.8460343;2.2957337
103;75AUT;;119 RUE DE LA POMPE;75016;PARIS;01 47 27 33 90;48.8656902;2.2793186
104;75PAS;;12 AVENUE DE LAMBALLE;75016;PARIS;;48.8545812;2.2819547
105;75TRO;;12 AVENUE KLEBER;75016;PARIS;01 45 01 71 79;48.8717597;2.2933014
106;75ELY;;12 AVENUE MONTAIGNE;75008;PARIS;;48.8657399;2.304285
107;75TRO;;12 AVENUE PIERRE 1ER DE SERBIE;75016;PARIS;01 46 41 28 81;48.866142;2.2968842
108;75PAS;;12 BIS RUE RAYNOUARD;75016;PARIS;;48.857606;2.2835809
109;75PAS;;12 BOULEVARD SUCHET;75016;PARIS;01 40 72 71 29;48.8608853;2.2666352
110;75MNP;;12 PLACE ADOLPHE CHERIOUX;75015;PARIS;01 48 28 39 74;48.8399101;2.3004389
111;75GRE;;12 PLACE DU COMMERCE;75015;PARIS;09 52 95 58 95;48.844701;2.2931309
112;75VAU;;12 RUE ANDRE THEURIET;75015;PARIS;01 40 33 57 60;48.8287116;2.296615
113;75MNP;CDS JAQUES SENET;12 RUE ARMAND MOISANT;75015;PARIS;01 42 79 16 11;48.842289;2.3174339
114;92LEV;;12 RUE BARBES;92300;LEVALLOIS PERRET;01 46 17 06 11;48.890048;2.2812562
115;75INV;;12 RUE CHOMEL;75007;PARIS;01 42 22 70 70;48.8519438;2.324898
116;75PAS;;12 RUE CORTAMBERT;75016;PARIS;01 47 43 42 70;48.862449;2.2804911
117;75PAS;;12 RUE DE LA POMPE;75016;PARIS;01 55 25 01 67;48.8596667;2.2753721
118;75ELY;;12 RUE DE PONTHIEU;75008;PARIS;01 53 53 50 00;48.8704698;2.3105027
119;75TRO;;12 RUE DE SAIGON;75016;PARIS;01 45 32 67 51;48.8745383;2.2901443
120;75GRE;;12 RUE DU COMMERCE;75015;PARIS;01 45 79 87 25;48.8483401;2.2969697
121;75PAS;;12 RUE JEAN RICHEPIN;75016;PARIS;01 45 04 41 21;48.8617648;2.2738508
122;75VAU;;12 RUE LERICHE;75015;PARIS;01 56 08 01 19;48.8353665;2.2946229
123;75PAS;;12 RUE OSWALDO CRUZ;75016;PARIS;01 42 30 70 70;48.8571187;2.2693893
124;75GRE;;12 RUE PAUL HERVIEU;75015;PARIS;01 45 77 68 79;48.8457607;2.280281
125;75INV;;12 RUE PERIGNON;75007;PARIS;01 40 56 05 32;48.8477145;2.3090864
126;75PAS;;12 RUE RAYNOUARD;75016;PARIS;;48.8576964;2.2836982
127;75INV;;12 RUE ST JEAN BAPTISTE DE LA SALLE;75007;PARIS;01 40 61 07 01;48.8471541;2.3200306
128;75PER;;12 RUE THEODULE RIBOT;75017;PARIS;01 44 29 74 28;48.8797147;2.3007675
129;92NEU;;121 BOULEVARD BINEAU;92200;NEUILLY-SUR-SEINE;01 47 47 45 41;48.8886353;2.2735977
130;75TRO;;121 RUE DE LA POMPE;75016;PARIS;01 45 53 14 08;48.8658594;2.27943
131;75TRO;;122 AVENUE DE MALAKOFF;75016;PARIS;01 45 50 03 69;48.8739317;2.2845062
132;92LEV;;122 BIS RUE LOUIS ROUQUIER;92300;LEVALLOIS PERRET;01 47 39 38 85;48.8933345;2.2934927
133;92LEV;;122 RUE ANATOLE FRANCE;92300;LEVALLOIS PERRET;;48.8956663;2.2818851
134;75PER;;123 AVENUE DE WAGRAM;75017;PARIS;01 46 22 78 80;48.8826826;2.3012898
135;75PAS;;123 RUE DE LONGCHAMP;75016;PARIS;01 45 05 44 44;48.8672508;2.2779553
136;92LEV;;124 RUE MARIUS AUFAN;92300;LEVALLOIS PERRET;01 47 59 99 89;48.8944335;2.281445
137;75INV;;126 RUE DE L UNIVERSITE;75007;PARIS;01 40 63 58 26;48.8608616;2.3183886
138;75MNP;;126 T RUE BLOMET;75015;PARIS;01 48 28 36 82;48.8408889;2.3004598
139;75PAS;;127 RUE DU RANELAGH;75016;PARIS;01 56 72 15 10;48.8561365;2.2677346
140;75MNP;;127 RUE FALGUIERE;75015;PARIS;01 43 06 21 19;48.8372737;2.3109471
141;92LEV;;129 RUE DANTON;92300;LEVALLOIS PERRET;01 47 57 35 91;48.8887401;2.2853562
142;75INV;;129 RUE DE SEVRES;75007;PARIS;01 43 06 11 17;48.8474552;2.3185545
143;75TRO;;129 RUE LAURISTON;75016;PARIS;;48.8654837;2.2855328
144;75GRE;;13 ALLEE ISADORA DUNCAN;75015;PARIS;01 45 50 26 14;48.8424749;2.2836972
145;75AUT;;13 AVENUE DU MARECHAL FRANCHET D ESPEREY;75016;PARIS;01 40 50 82 42;48.8565842;2.2630588
146;75INV;;13 BOULEVARD DES INVALIDES;75007;PARIS;01 45 55 50 80;48.8566326;2.3153397
147;75ELY;;13 RUE DE LA TREMOILLE;75008;PARIS;;48.8673547;2.30338
148;75GRE;;13 RUE DE PLELO;75015;PARIS;01 40 60 10 76;48.8400611;2.2869387
149;75PER;;13 RUE DE TOCQUEVILLE;75017;PARIS;09 53 81 48 28;48.8826229;2.3134848
150;75INV;;13 RUE DUVIVIER;75007;PARIS;;48.8570789;2.307005
151;75VAU;;13 RUE MARMONTEL;75015;PARIS;01 45 33 55 36;48.8369701;2.2999082
152;75AUT;;130 BOULEVARD EXELMANS;75016;PARIS;;48.8468634;2.2592714
153;75MNP;;131 RUE DE VAUGIRARD;75015;PARIS;01 42 73 21 00;48.8443947;2.3180438
154;75PER;;131 RUE DES DAMES;75017;PARIS;01 43 87 57 94;48.8822643;2.3161425
155;75PAS;;132 RUE DE LONGCHAMP;75016;PARIS;;48.867322;2.2780894
156;75INV;;133 AVENUE DE SUFFREN;75007;PARIS;01 42 73 00 80;48.8477837;2.3067202
157;75PER;;133 BOULEVARD MALESHERBES;75017;PARIS;;48.8834303;2.3091419
158;75GRE;;133 RUE DE LA CONVENTION;75015;PARIS;01 45 33 20 50;48.840245;2.2902166
159;75PAS;;133 RUE DU RANELAGH;75016;PARIS;;48.8563168;2.2670249
160;75AUT;;133 RUE MICHEL ANGE;75016;PARIS;01 46 20 17 16;48.8389664;2.257701
161;75TRO;;134 AVENUE VICTOR HUGO;75016;PARIS;01 45 03 90 90;48.8674537;2.2798124
162;92NEU;;136 AVENUE ACHILLE PERETTI;92200;NEUILLY-SUR-SEINE;01 47 22 36 74;48.8856984;2.2641878
163;75VAU;;136 BIS RUE BLOMET;75015;PARIS;;48.8392236;2.2956866
164;75AUT;;136 BOULEVARD EXELMANS;75016;PARIS;01 40 71 95 02;48.8471833;2.2594638
165;75MNP;;136 RUE DE VAUGIRARD;75015;PARIS;01 44 93 02 68;48.8448124;2.3188815
166;75INV;;138 AVENUE DE SUFFREN;75007;PARIS;01 47 53 00 88;48.8472662;2.3067654
167;75PER;;138 RUE DE COURCELLES;75017;PARIS;01 47 63 95 15;48.8819524;2.3004728
168;75PER;;14 16 RUE DAUBIGNY;75017;PARIS;01 43 14 84 30;48.8851693;2.308459
169;75TRO;;14 16 RUE DES SABLONS;75016;PARIS;01 47 04 32 43;48.8644701;2.2824094
170;75INV;;14 AVENUE BOSQUET;75007;PARIS;01 45 55 08 10;48.8599613;2.3026891
171;75TER;;14 AVENUE DE WAGRAM;75017;PARIS;01 46 22 47 92;48.8759315;2.2968733
172;75PAS;;14 AVENUE DU COLONEL BONNET;75016;PARIS;01 45 27 05 21;48.8556359;2.2781859
173;75INV;;14 AVENUE DUQUESNE;75007;PARIS;01 40 56 40 24;48.8521148;2.309102
174;75TER;;14 BIS RUE DARU;75017;PARIS;01 42 27 10 00;48.8781499;2.3023894
175;75PAS;;14 BIS RUE RAYNOUARD;75016;PARIS;01 45 04 55 06;48.8574323;2.283357
176;75ELY;;14 PLACE HENRI BERGSON;75008;PARIS;01 47 42 91 00;48.8762336;2.3202623
177;75AUT;CLI MED ET PED EDOUARD RIST;14 RUE BOILEAU;75016;PARIS;01 40 50 53 64;48.8466758;2.2653883
178;75INV;;14 RUE CHOMEL;75007;PARIS;01 45 48 07 60;48.8518451;2.3245999
179;75ELY;;14 RUE DE NAPLES;75008;PARIS;01 53 69 04 20;48.8797756;2.3196206
180;75VAU;;14 RUE DE VOUILLE;75015;PARIS;01 45 30 01 19;48.8348904;2.303998
181;75PER;;14 RUE GUSTAVE DORE;75017;PARIS;01 42 27 92 00;48.8866469;2.3025061
182;75ELY;;14 RUE LINCOLN;75008;PARIS;01 45 00 80 80;48.8705299;2.3031567
183;75PAS;;14 RUE NICOLO;75016;PARIS;01 40 50 88 62;48.8587441;2.2803554
184;75PAS;;14 RUE RAYNOUARD;75016;PARIS;01 40 50 66 33;48.8575187;2.2834685
185;75INV;;14 RUE ST DOMINIQUE;75007;PARIS;01 42 75 73 12;48.8595533;2.3192587
186;75TRO;;140 AVENUE VICTOR HUGO;75016;PARIS;09 75 27 44 63;48.8672643;2.2793674
187;75PER;;141 BOULEVARD PEREIRE;75017;PARIS;01 47 63 74 67;48.8838174;2.2955604
188;75VAU;;143 BOULEVARD LEFEBVRE;75015;PARIS;01 45 30 22 66;48.8291744;2.2995596
189;92NEU;;143 RUE DE LONGCHAMP;92200;NEUILLY-SUR-SEINE;01 47 45 28 10;48.8759043;2.2502833
190;75PER;;145 RUE DE ROME;75017;PARIS;09 53 60 53 93;48.8862991;2.3159438
191;92NEU;;146 BIS AVENUE CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;01 47 45 87 87;48.8841405;2.26354
192;75GRE;;146 BOULEVARD DE GRENELLE;75015;PARIS;01 45 67 89 87;48.8484498;2.2992309
193;75ELY;;146 BOULEVARD HAUSSMANN;75008;PARIS;01 45 62 01 95;48.8753127;2.3123244
194;75PER;;146 BOULEVARD PEREIRE;75017;PARIS;01 43 80 48 89;48.883541;2.2941259
195;75PER;;146 RUE DE COURCELLES;75017;PARIS;01 47 64 06 08;48.882702;2.2997192
196;75GRE;;146 RUE DE LOURMEL;75015;PARIS;01 45 58 10 00;48.8405731;2.2839795
197;75TRO;;147 AVENUE DE MALAKOFF;75016;PARIS;01 45 00 23 22;48.8759236;2.2835805
198;75PER;;147 BOULEVARD MALESHERBES;75017;PARIS;01 42 27 44 59;48.8847444;2.3075359
199;75VAU;;149 BIS RUE BLOMET;75015;PARIS;01 77 36 76 12;48.8387115;2.2950157
200;75MNP;HÔP UNI NECKER;149 RUE DE SEVRES;75015;PARIS;01 71 19 61 94;48.846456;2.3156805
201;92NEU;;15 17 AVENUE STE FOY;92200;NEUILLY-SUR-SEINE;01 40 11 14 91;48.8880559;2.2631192
202;75GRE;;15 17 RUE ROBERT DE FLERS;75015;PARIS;01 45 77 27 75;48.8485966;2.28299
203;75TRO;;15 AVENUE D EYLAU;75016;PARIS;;48.8642764;2.2849691
204;75PER;;15 AVENUE DE VILLIERS;75017;PARIS;01 42 27 08 08;48.8817672;2.313755
205;75TRO;;15 AVENUE RAYMOND POINCARE;75016;PARIS;01 40 74 00 11;48.8645413;2.2864862
206;75TER;;15 BIS AVENUE BEAUCOUR;75017;PARIS;01 45 83 36 48;48.8776255;2.3028113
207;75INV;;15 BIS AVENUE DE VILLARS;75007;PARIS;01 45 51 23 31;48.8513557;2.3140925
208;92NEU;;15 BIS RUE DE L EGLISE;92200;NEUILLY-SUR-SEINE;01 46 24 19 78;48.8860077;2.2641803
209;75ELY;;15 BIS RUE DE MARIGNAN;75008;PARIS;01 45 61 05 25;48.8685732;2.3062558
210;75MNP;;15 BOULEVARD DU MONTPARNASSE;75015;PARIS;01 43 06 58 30;48.8459139;2.3187761
211;75ELY;;15 BOULEVARD MALESHERBES;75008;PARIS;01 58 41 33 01;48.8715094;2.3219788
212;75AUT;;15 QUAI LOUIS BLERIOT;75016;PARIS;09 50 86 58 04;48.8502493;2.2776273
213;75INV;;15 RUE CHASSELOUP LAUBAT;75007;PARIS;01 40 56 90 30;48.8474977;2.305132
214;75AUT;;15 RUE DE L YVETTE;75016;PARIS;01 45 20 32 03;48.8531681;2.2667571
215;75MNP;;15 RUE DE LA CROIX NIVERT;75015;PARIS;01 45 66 78 65;48.8470363;2.3004202
216;75INV;;15 RUE DE LA PLANCHE;75007;PARIS;01 42 84 09 59;48.8525437;2.3250345
217;75ELY;;15 RUE DE SURENE;75008;PARIS;01 47 42 62 00;48.8708723;2.3208078
218;75GRE;;15 RUE DES FRERES MORANE;75015;PARIS;;48.8417147;2.2916732
219;75PER;;15 RUE EUGENE FLACHAT;75017;PARIS;01 42 67 67 67;48.8870006;2.2989781
220;75VAU;HÔP COGNACQ-JAY;15 RUE EUGENE MILLON;75015;PARIS;01 45 30 81 75;48.8376822;2.2927383
221;75TER;;15 RUE FARADAY;75017;PARIS;01 43 80 28 05;48.8821186;2.2932098
222;75VAU;;15 RUE GEORGES PITARD;75015;PARIS;01 42 50 32 69;48.8349431;2.3106352
223;75TRO;;15 RUE LAURISTON;75016;PARIS;01 45 02 12 85;48.8716427;2.2925056
224;75PAS;;15 RUE PETRARQUE;75016;PARIS;01 47 66 23 50;48.8617318;2.283479
225;75TER;;15 RUE PIERRE DEMOURS;75017;PARIS;;48.8806074;2.2929897
226;75PAS;;15 RUE SPONTINI;75016;PARIS;;48.8696922;2.2782669
227;75INV;;150 RUE DE L UNIVERSITE;75007;PARIS;;48.8612041;2.3085786
228;75PER;;151 AVENUE DE WAGRAM;75017;PARIS;01 42 27 57 22;48.8857145;2.3034962
229;75INV;;151 RUE DE GRENELLE;75007;PARIS;01 47 53 98 01;48.8578654;2.3074783
230;92NEU;;152 AVENUE CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;01 47 38 00 00;48.884337;2.2629238
231;75GRE;;152 RUE DE JAVEL;75015;PARIS;01 40 60 00 93;48.8423028;2.2898411
232;92NEU;;153 AVENUE CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;01 46 24 31 29;48.8829067;2.265206
233;75GRE;;154 RUE DE LOURMEL;75015;PARIS;01 53 66 61 27;48.8399872;2.2833134
234;92NEU;;155 AVENUE CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;01 49 09 59 46;48.8830632;2.2647829
235;75VAU;;155 BIS RUE DE LA CONVENTION;75015;PARIS;01 45 30 04 07;48.8389152;2.2929539
236;75MNP;;156 RUE DE VAUGIRARD;75015;PARIS;01 40 61 54 96;48.8434643;2.3139637
237;75PER;;157 AVENUE DE WAGRAM;75017;PARIS;01 47 66 90 02;48.8861455;2.3038104
238;75PAS;;16 AVENUE PAUL DOUMER;75016;PARIS;;48.8611978;2.2835082
239;75PAS;;16 BOULEVARD EMILE AUGIER;75016;PARIS;01 45 03 27 02;48.8598747;2.2740225
240;75TER;;16 PLACE DE VERDUN;75017;PARIS;01 79 62 56 46;48.8785779;2.2803015
241;75ELY;;16 RUE DE TEHERAN;75008;PARIS;01 58 18 38 28;48.87719;2.312731
242;75TER;;16 RUE FARADAY;75017;PARIS;01 43 80 57 68;48.8822175;2.2936601
243;75AUT;;16 RUE FELICIEN DAVID;75016;PARIS;;48.8499643;2.2745706
244;75INV;;16 RUE JOSE MARIA DE HEREDIA;75007;PARIS;01 47 83 23 17;48.8476376;2.3078535
245;75INV;;16 RUE ST ROMAIN;75007;PARIS;01 45 48 06 36;48.8471966;2.3210905
246;92NEU;;160 AVENUE CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;01 46 37 54 03;48.8847041;2.2617682
247;75INV;;160 AVENUE DE SUFFREN;75007;PARIS;;48.8466585;2.3077134
248;75GRE;;161 RUE DE JAVEL;75015;PARIS;01 45 33 07 42;48.8416889;2.2909002
249;75PER;;164 RUE DE COURCELLES;75017;PARIS;01 73 70 97 77;48.8834853;2.2989332
