id;uga;etablissement;adresse;cp;ville;tel;lat;lon
250;75PER;;165 RUE DE COURCELLES;75017;PARIS;01 40 09 06 93;48.884239;2.2978484
251;75INV;CLI DE L’ALMA;166 RUE DE L UNIVERSITE;75007;PARIS;;48.8612095;2.3057481
252;92NEU;;169 AVENUE ACHILLE PERETTI;92200;NEUILLY-SUR-SEINE;;48.8850747;2.2655299
253;75ELY;;169 BOULEVARD HAUSSMANN;75008;PARIS;01 45 62 00 50;48.8748233;2.3075226
254;75TER;HÔP MARMOTTAN;17 19 RUE D ARMAILLE;75017;PARIS;01 56 68 70 13;48.8781687;2.2913543
255;75TRO;;17 AVENUE VICTOR HUGO;75016;PARIS;01 53 64 02 64;48.8722393;2.2916969
256;75MNP;CDS SOMED;17 BOULEVARD DE VAUGIRARD;75015;PARIS;01 40 48 14 44;48.8414513;2.3190734
257;75INV;;17 BOULEVARD RASPAIL;75007;PARIS;01 49 57 70 00;48.8539918;2.3263511
258;75PAS;;17 CHAUSSEE DE LA MUETTE;75016;PARIS;01 45 20 54 65;48.8579549;2.2729588
259;75PER;;17 RUE ALFRED ROLL;75017;PARIS;01 46 22 64 02;48.8877785;2.2998524
260;75TER;;17 RUE DARU;75017;PARIS;01 47 63 37 94;48.8782811;2.3023243
261;75PAS;;17 RUE DE LA POMPE;75016;PARIS;01 75 50 97 72;48.8598203;2.2750992
262;75ELY;;17 RUE DE MONCEAU;75008;PARIS;01 40 53 87 25;48.8760939;2.3072848
263;75ELY;;17 RUE DE TREMOILLE;75008;PARIS;09 84 14 31 39;48.8676761;2.3039482
264;75PAS;;17 RUE DES MARRONNIERS;75016;PARIS;01 45 20 78 62;48.854682;2.2763044
265;75TER;;17 RUE DU COLONEL MOLL;75017;PARIS;01 43 80 64 89;48.8774907;2.2903208
266;75TRO;;17 RUE GREUZE;75016;PARIS;01 47 55 08 50;48.8640524;2.2833655
267;75GRE;;17 RUE MADEMOISELLE;75015;PARIS;01 47 34 11 49;48.8436415;2.2948787
268;75AUT;;17 RUE MICHEL ANGE;75016;PARIS;01 45 24 04 75;48.8466655;2.2632166
269;75PAS;;17 RUE PETRARQUE;75016;PARIS;;48.861916;2.2832286
270;75INV;;17 RUE ROUSSELET;75007;PARIS;;48.849121;2.3183556
271;75ELY;;170 BOULEVARD HAUSSMANN;75008;PARIS;;48.8751679;2.3086103
272;75AUT;;171 BOULEVARD MURAT;75016;PARIS;01 45 24 27 27;48.8387763;2.2639624
273;75PER;;172 BOULEVARD BERTHIER;75017;PARIS;01 40 68 77 73;48.8862421;2.2942526
274;75PER;;174 RUE DE COURCELLES;75017;PARIS;01 45 74 75 15;48.8838582;2.2985581
275;75VAU;;175 RUE DE LA CONVENTION;75015;PARIS;01 45 33 05 21;48.8380662;2.29482
276;75TRO;;175 RUE DE LA POMPE;75016;PARIS;01 89 16 67 76;48.8597745;2.2752006
277;75INV;;176 RUE DE GRENELLE;75007;PARIS;01 44 18 33 33;48.8579456;2.3070273
278;75MNP;MGEN;178 RUE DE VAUGIRARD;75015;PARIS;01 44 49 28 28;48.842708099999996;2.3096868949876264
279;75MNP;MGEN;178 T RUE DE VAUGIRARD;75015;PARIS;01 44 49 27 77;48.8360181;2.293826
280;75GRE;;18 20 RUE ST SAENS;75015;PARIS;09 86 52 59 17;48.8534103;2.2914127
281;75TER;;18 AVENUE CARNOT;75017;PARIS;01 45 74 32 40;48.8761818;2.2932272
282;75GRE;;18 RUE CAUCHY;75015;PARIS;01 45 54 18 18;48.8429578;2.2759583
283;75TRO;;18 RUE DES BELLES FEUILLES;75016;PARIS;;48.8664888;2.2824639
284;75MNP;;18 RUE DU GENERAL BEURET;75015;PARIS;01 45 32 57 51;48.841199;2.302564
285;75ELY;;18 RUE DUPHOT;75008;PARIS;01 42 40 20 00;48.8686046;2.325548
286;92LEV;;18 RUE GREFFULHE;92300;LEVALLOIS PERRET;01 55 63 90 10;48.8952262;2.2760109
287;75TRO;;18 RUE GREUZE;75016;PARIS;;48.8639645;2.283951
288;75ELY;;18 RUE MARBEUF;75008;PARIS;01 47 23 42 22;48.8683322;2.3033875
289;92LEV;;18 RUE MARIUS AUFAN;92300;LEVALLOIS PERRET;01 47 57 41 91;48.8885916;2.2867077
290;75VAU;;18 RUE OLIVIER DE SERRES;75015;PARIS;01 42 50 20 55;48.8364253;2.2975083
291;75PER;;18 RUE PHILIBERT DELORME;75017;PARIS;01 43 80 92 63;48.888527;2.302719
292;75ELY;;18 RUE ROYALE;75008;PARIS;01 42 60 29 17;48.8685635;2.3237135
293;75PER;;18 RUE SALNEUVE;75017;PARIS;;48.8854991;2.3143626
294;75PER;;18 RUE THEODULE RIBOT;75017;PARIS;;48.880144;2.300194
295;75GRE;;181 RUE ST CHARLES;75015;PARIS;01 40 60 16 39;48.8412611;2.2809853
296;75ELY;;186 BOULEVARD HAUSSMANN;75008;PARIS;01 42 89 53 37;48.8750863;2.3065423
297;75VAU;;186 RUE DE LA CONVENTION;75015;PARIS;;48.8376894;2.295171
298;75PER;;187 RUE DE COURCELLES;75017;PARIS;01 42 27 42 19;48.8868395;2.2950741
299;75MNP;;19 21 RUE CAMBRONNE;75015;PARIS;01 53 06 76 66;48.8426951;2.3026387
300;75INV;;19 AVENUE DE LA BOURDONNAIS;75007;PARIS;01 45 55 25 05;48.8594215;2.2976204
301;75INV;;19 AVENUE DE TOURVILLE;75007;PARIS;01 64 60 24 35;48.8538447;2.3083215
302;75ELY;;19 AVENUE FRANKLIN DELANO ROOSEVELT;75008;PARIS;01 42 56 65 65;48.8664177;2.3099852
303;75PER;;19 RUE AMPERE;75017;PARIS;;48.8851346;2.3046872
304;75MNP;;19 RUE BARGUE;75015;PARIS;01 43 06 38 56;48.8392123;2.3075163
305;75TER;;19 RUE CHATEAUBRIAND;75017;PARIS;01 53 92 25 65;48.8735061;2.3008607
306;75ELY;;19 RUE D EDIMBOURG;75008;PARIS;;48.8793428;2.3201022
307;75GRE;;19 RUE DE LA CONVENTION;75015;PARIS;01 74 64 29 95;48.84516;2.2792174
308;75ELY;;19 RUE DUPHOT;75008;PARIS;01 42 60 87 60;48.8685731;2.3254228
309;75AUT;;19 RUE MICHEL ANGE;75016;PARIS;01 40 50 88 88;48.846443;2.2630344
310;75AUT;;19 RUE MIRABEAU;75016;PARIS;01 42 15 16 33;48.8464759;2.2709637
311;75AUT;;19 RUE MOLITOR;75016;PARIS;;48.8451014;2.2636311
312;75INV;;19 RUE MONSIEUR;75007;PARIS;01 47 34 69 65;48.8502974;2.3165995
313;75INV;;19 RUE OUDINOT;75007;PARIS;01 78 95 83 25;48.8499234;2.3167729
314;75GRE;;19 RUE THEODORE DECK;75015;PARIS;01 44 49 48 48;48.837343;2.2899498
315;92NEU;;190 BOULEVARD BINEAU;92200;NEUILLY-SUR-SEINE;01 46 24 32 52;48.8930882;2.2686534
316;75PAS;;192 194 AVENUE VICTOR HUGO;75016;PARIS;01 45 04 93 95;48.8652952;2.2750333
317;75INV;;193 BOULEVARD ST GERMAIN;75007;PARIS;01 45 44 00 95;48.8550048;2.3280408
318;75AUT;;196 AVENUE DE VERSAILLES;75016;PARIS;01 42 88 95 50;48.8391366;2.2606949
319;75INV;;198 BOULEVARD ST GERMAIN;75007;PARIS;01 45 49 22 62;48.8548462;2.3296311
320;75INV;;199 RUE DE GRENELLE;75007;PARIS;01 46 22 21 84;48.8563345;2.3028912
321;75MNP;;199 RUE DE VAUGIRARD;75015;PARIS;01 47 34 50 46;48.8422849;2.3107396
322;75GRE;;2 14 RUE DES CEVENNES;75015;PARIS;01 44 77 72 01;48.8428445;2.2799621
323;75INV;;2 A AVENUE DE SEGUR;75007;PARIS;01 53 59 88 00;48.8533639;2.3116809
324;75AUT;;2 AVENUE DU GENERAL BALFOURIER;75016;PARIS;01 45 04 20 85;48.8450329;2.2599876
325;75INV;;2 BIS RUE BOUGAINVILLE;75007;PARIS;;48.8558374;2.308166
326;92LEV;;2 BIS RUE CAMILLE PELLETAN;92300;LEVALLOIS PERRET;01 46 39 22 35;48.8952403;2.2881481
327;92NEU;;2 BIS RUE DE L EGLISE;92200;NEUILLY-SUR-SEINE;01 46 24 49 51;48.846456;2.3156805
328;75PAS;;2 BIS SQUARE LAMARTINE;75016;PARIS;01 45 65 61 06;48.8643086;2.2746947
329;75AUT;;2 PLACE DE BARCELONE;75016;PARIS;01 42 24 08 88;48.8478343;2.2737265
330;75PAS;;2 PLACE DE PASSY;75016;PARIS;;48.857809;2.2774307
331;75PAS;;2 RUE ANDRE PASCAL;75016;PARIS;01 45 24 83 88;48.86167375;2.2692356597225416
332;75AUT;;2 RUE CHARLES MARIE WIDOR;75016;PARIS;09 53 34 95 40;48.8408444;2.2631639
333;75MNP;;2 RUE CORBON;75015;PARIS;01 45 32 85 64;48.8365869;2.3030925
334;75AUT;;2 RUE D AUTEUIL;75016;PARIS;01 77 11 18 67;48.8476282;2.2689421
335;75AUT;;2 RUE DE CIVRY;75016;PARIS;01 46 51 02 54;48.8441127;2.2584033
336;75PER;;2 RUE DE PHALSBOURG;75017;PARIS;01 40 54 92 71;48.8811531;2.3091505
337;75MNP;;2 RUE DES FAVORITES;75015;PARIS;01 48 42 50 20;48.8397172;2.3025998
338;92NEU;;2 RUE DES HUISSIERS;92200;NEUILLY-SUR-SEINE;01 47 22 98 61;48.8836113;2.2653357
339;75VAU;;2 RUE FERDINAND FABRE;75015;PARIS;01 48 42 36 94;48.8390839;2.295971
340;75PER;;2 RUE GEORGES BERGER;75017;PARIS;01 48 88 26 60;48.8808262;2.3100397
341;75MNP;CPMI SECHE;2 RUE LEON SECHE;75015;PARIS;;48.8418596;2.2982823
342;75PAS;;2 RUE ROBERT LE COIN;75016;PARIS;01 45 20 62 95;48.855091;2.2733128
343;75INV;;2 RUE ROSA BONHEUR;75007;PARIS;01 45 55 29 00;48.846687;2.3109503
344;75INV;CLI ST JEAN DE DIEU;2 RUE ROUSSELET;75007;PARIS;01 40 61 11 22;48.8477909;2.3190477
345;75MNP;;2 SQUARE DU CROISIC;75015;PARIS;01 44 93 58 47;48.8459776;2.3175719
346;75PAS;;2 SQUARE MIGNOT;75016;PARIS;01 47 55 07 70;48.8621219;2.2830776
347;75TRO;;2 VILLA BOISSIERE;75016;PARIS;01 44 05 96 37;48.8662961;2.290518
348;75TRO;;2 VILLA MALAKOFF;75016;PARIS;01 45 05 13 12;48.8656044;2.286495
349;75PER;;2 VILLA MONCEAU;75017;PARIS;01 40 54 99 19;48.8830291;2.2997206
350;92NEU;;20 AVENUE CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;01 47 47 53 51;48.8790979;2.279392
351;75TER;;20 BIS RUE DARU;75017;PARIS;;48.8784675;2.3029295
352;75ELY;;20 BIS RUE LA BOETIE;75008;PARIS;01 44 90 03 76;48.8741107;2.3164706
353;75INV;;20 RUE CLER;75007;PARIS;01 45 55 79 91;48.8580041;2.3056873
354;75TER;;20 RUE D ARMAILLE;75017;PARIS;;48.8781878;2.2915785
355;75TRO;;20 RUE DE LONGCHAMP;75016;PARIS;;48.865005;2.2910657
356;75GRE;HEGP;20 RUE LEBLANC;75015;PARIS;01 56 09 35 51;48.8388657;2.2749032
357;75PAS;;20 RUE RAYNOUARD;75016;PARIS;01 45 25 44 19;48.8571383;2.2828965
358;75PAS;;20 RUE SCHEFFER;75016;PARIS;01 47 27 29 00;48.8612432;2.2831557
359;75VAU;;200 RUE DE LA CONVENTION;75015;PARIS;01 56 56 06 44;48.8370777;2.2965833
360;92NEU;;203 AVENUE CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;01 47 45 01 45;48.8845879;2.2598986
361;75GRE;;204 BIS RUE DE LA CROIX NIVERT;75015;PARIS;01 45 58 10 32;48.8375896;2.2892829
362;75MNP;;204 RUE DE VAUGIRARD;75015;PARIS;01 53 69 18 71;48.8413706;2.3068851
363;75VAU;;205 RUE DE JAVEL;75015;PARIS;01 53 68 43 00;48.8389587;2.2941199
364;75TER;CDS MEDIKSANTE;206 BOULEVARD PEREIRE;75017;PARIS;01 45 78 36 00;48.8804722;2.2884467
365;75MNP;;208 RUE DE VAUGIRARD;75015;PARIS;;48.8412671;2.306508
366;75MNP;;209 211 RUE DE VAUGIRARD;75015;PARIS;;48.8360181;2.293826
367;75INV;;209 BOULEVARD ST GERMAIN;75007;PARIS;;48.8563835;2.3250996
368;92NEU;;21 23 RUE MONTROSIER;92200;NEUILLY-SUR-SEINE;01 77 37 59 34;48.8813376;2.2798191
369;75TRO;;21 AVENUE GEORGE V;75016;PARIS;01 42 67 13 68;48.8672639;2.3009789
370;75TER;;21 AVENUE MAC MAHON;75017;PARIS;01 58 05 01 40;48.8769247;2.2942577
371;75TRO;;21 BIS AVENUE D IENA;75016;PARIS;01 53 23 80 23;48.8629379;2.2921
372;75PER;;21 BIS RUE GALVANI;75017;PARIS;;48.8839834;2.2901511
373;75INV;;21 BIS RUE PIERRE LEROUX;75007;PARIS;;48.8491309;2.3191686
374;75INV;;21 PLACE JOFFRE;75007;PARIS;01 44 42 39 28;48.8515374;2.3018648
375;75GRE;;21 RUE BALARD;75015;PARIS;01 40 60 94 34;48.8403352;2.2780205
376;75AUT;;21 RUE CHANEZ;75016;PARIS;01 40 71 19 05;48.8464296;2.2595562
377;75PER;;21 RUE DE CHAZELLES;75017;PARIS;01 48 88 26 60;48.8799578;2.3042853
378;75TER;;21 RUE DU COLONEL MOLL;75017;PARIS;;48.8777531;2.2901213
379;75INV;;21 RUE DU GENERAL BERTRAND;75007;PARIS;01 53 86 05 70;48.8470273;2.3138479
380;75TER;;21 RUE FARADAY;75017;PARIS;01 43 80 30 42;48.8824297;2.2938006
381;75TER;;21 RUE LAUGIER;75017;PARIS;01 45 72 60 27;48.8806667;2.2961278
382;75AUT;;21 RUE PIERRE GUERIN;75016;PARIS;01 46 51 08 88;48.8494734;2.265764
383;75INV;;21 RUE PIERRE LEROUX;75007;PARIS;01 47 34 60 07;48.8488294;2.3193792
384;75ELY;;21 RUE ROYALE;75008;PARIS;01 40 17 91 86;48.8686737;2.3231465
385;75ELY;;21 RUE TRONCHET;75008;PARIS;;48.8723408;2.3259449
386;75VAU;;210 RUE LECOURBE;75015;PARIS;01 42 50 44 50;48.8402963;2.2947997
387;75TER;;218 BIS BOULEVARD PEREIRE;75017;PARIS;01 45 74 58 52;48.8789736;2.2856743
388;75TRO;;22 AVENUE D EYLAU;75016;PARIS;01 47 04 50 52;48.8645847;2.2847856
389;75TER;;22 AVENUE DE FRIEDLAND;75017;PARIS;01 45 72 30 02;48.8745138;2.3004867
390;75TER;;22 RUE BEAUJON;75017;PARIS;01 47 66 46 32;48.8751135;2.300012
391;92LEV;;22 RUE D ALSACE;92300;LEVALLOIS PERRET;02 98 59 06 60;48.89100365;2.2953241042757595
392;75TRO;;22 RUE DES SABLONS;75016;PARIS;01 53 70 90 00;48.8649749;2.2827778
393;75INV;;22 RUE DUROC;75007;PARIS;01 46 33 18 00;48.8476614;2.3128668
394;75VAU;MDS CONVENTION-LECOURBE;223 RUE LECOURBE;75015;PARIS;01 42 50 02 61;48.8397469;2.293798
395;75VAU;;228 RUE DE LA CONVENTION;75015;PARIS;01 45 31 47 17;48.8360938;2.2997856
396;75TRO;;23 AVENUE VICTOR HUGO;75016;PARIS;01 53 75 06 55;48.8720433;2.2912338
397;75PAS;;23 BOULEVARD DELESSERT;75016;PARIS;01 45 53 74 94;48.8585171;2.2851441
398;75INV;;23 BOULEVARD DU MONTPARNASSE;75007;PARIS;01 42 84 11 74;48.8466748;2.316799
399;75TRO;;23 RUE DECAMPS;75016;PARIS;01 47 04 95 98;48.8644362;2.2809118
400;75GRE;;23 RUE DU LAOS;75015;PARIS;;48.8492667;2.3013682
401;75TRO;CLI BIZET;23 RUE GEORGES BIZET;75016;PARIS;01 40 69 34 35;48.8676295;2.2969216
402;92LEV;;23 RUE MARIUS AUFAN;92300;LEVALLOIS PERRET;01 76 21 75 65;48.888979;2.2860809
403;75GRE;;23 RUE TIPHAINE;75015;PARIS;01 45 75 47 02;48.8488195;2.2966017
404;75ELY;;230 RUE DU FAUBOURG ST HONORE;75008;PARIS;01 45 63 55 31;48.8760275;2.3030413
405;75VAU;;233 RUE DE LA CROIX NIVERT;75015;PARIS;01 45 33 40 99;48.8350376;2.289952
406;75TER;;235 RUE DU FAUBOURG ST HONORE;75017;PARIS;01 42 67 55 50;48.8774404;2.2988065
407;75VAU;;237 RUE DE LA CROIX NIVERT;75015;PARIS;01 45 31 21 31;48.8347426;2.2900002
408;75TRO;;24 BIS AVENUE DU PRESIDENT WILSON;75016;PARIS;01 47 55 61 62;48.846456;2.3156805
409;75GRE;;24 BOULEVARD DE GRENELLE;75015;PARIS;;48.8529028;2.2900016
410;75MNP;;24 BOULEVARD PASTEUR;75015;PARIS;01 34 89 30 02;48.8424998;2.3124984
411;75TER;;24 RUE BAYEN;75017;PARIS;01 40 68 70 00;48.8804684;2.293832
412;75PER;;24 RUE CARDINET;75017;PARIS;01 40 54 90 40;48.8818548;2.303433
413;92NEU;;25 27 BOULEVARD VICTOR HUGO;92200;NEUILLY-SUR-SEINE;;48.8929509;2.2738142
414;75INV;;25 AVENUE BOSQUET;75007;PARIS;;48.8596172;2.3033689
415;75MNP;;25 RUE DE LA CROIX NIVERT;75015;PARIS;01 47 83 72 45;48.8466445;2.2998459
416;75GRE;;25 RUE DESAIX;75015;PARIS;01 47 34 26 53;48.8526445;2.2929973
417;75GRE;;25 RUE DU DOCTEUR FINLAY;75015;PARIS;;48.8521688;2.2893393
418;92LEV;;25 RUE ERNEST COGNACQ;92300;LEVALLOIS PERRET;01 47 57 58 13;48.896432;2.2766074
419;75TER;;25 RUE PIERRE DEMOURS;75017;PARIS;01 43 80 96 64;48.8811496;2.2942061
420;75AUT;;25 RUE PIERRE GUERIN;75016;PARIS;01 45 27 51 20;48.8498893;2.2653718
421;75INV;;25 RUE ROUSSELET;75007;PARIS;01 47 07 41 70;48.8487356;2.3185688
422;75TRO;;25 RUE ST DIDIER;75016;PARIS;01 42 33 77 17;48.8661893;2.2868653
423;75VAU;;25 RUE THIBOUMERY;75015;PARIS;01 40 61 06 10;48.8354811;2.3041036
424;75VAU;;25 RUE VICTOR DURUY;75015;PARIS;;48.8366955;2.2997368
425;75INV;;252 BOULEVARD ST GERMAIN;75007;PARIS;01 45 48 60 13;48.8579835;2.3238627
426;75MNP;;254 RUE DE VAUGIRARD;75015;PARIS;01 56 56 89 89;48.8398238;2.3017139
427;75TER;;254 RUE DU FAUBOURG ST HONORE;75017;PARIS;01 45 62 56 56;48.8770893;2.3006762
428;75TER;;26 AVENUE CARNOT;75017;PARIS;;48.8766657;2.2928191
429;75GRE;;26 AVENUE DE LOWENDAL;75015;PARIS;01 47 34 04 20;48.8487318;2.3023573
430;75PER;;26 AVENUE DE VILLIERS;75017;PARIS;;48.8822543;2.3127945
431;75TER;;26 BOULEVARD GOUVION ST CYR;75017;PARIS;01 88 46 88 19;48.8834652;2.2878138
432;92NEU;CLI AMBROISE PARÉ;26 BOULEVARD VICTOR HUGO;92200;NEUILLY-SUR-SEINE;;48.88596565;2.280635080808917
433;75TRO;;26 RUE BOISSIERE;75016;PARIS;01 47 04 14 14;48.8664251;2.2911541
434;75AUT;;26 RUE ERLANGER;75016;PARIS;01 46 51 55 68;48.8460747;2.2608564
435;75MNP;;26 RUE PECLET;75015;PARIS;01 48 28 55 00;48.8411199;2.2996493
436;75TER;;26 RUE WASHINGTON;75017;PARIS;01 43 59 46 63;48.8731896;2.3031805
437;75GRE;;269 RUE LECOURBE;75015;PARIS;09 86 72 71 56;48.8384314;2.2895621
438;92NEU;;27 BOULEVARD VICTOR HUGO;92200;NEUILLY-SUR-SEINE;;48.8865192;2.2788238
439;75MNP;;27 RUE BLOMET;75015;PARIS;;48.8428984;2.3066104
440;75PER;;27 RUE CURNONSKY;75017;PARIS;01 48 88 07 28;48.8897162;2.2943133
441;75GRE;;27 RUE DE LA CONVENTION;75015;PARIS;01 43 17 65 02;48.8447434;2.2801346
442;75PER;;27 RUE DE TOCQUEVILLE;75017;PARIS;01 43 18 09 90;48.8836976;2.3120027
443;75TER;;27 RUE FOURCROY;75017;PARIS;01 42 27 73 05;48.881251;2.2982861
444;75ELY;;27 RUE MARBEUF;75008;PARIS;;48.8690825;2.3042395
445;75MNP;;27 VILLA CROIX NIVERT;75015;PARIS;01 40 56 39 99;48.8456239;2.3009981
446;75TER;;275 BOULEVARD PEREIRE;75017;PARIS;07 71 21 67 68;48.8777881;2.2847221
447;75INV;;276 BOULEVARD ST GERMAIN;75007;PARIS;;48.8606724;2.3213268
448;75MNP;;277 RUE DE VAUGIRARD;75015;PARIS;01 44 49 50 47;48.8395919;2.3021142
449;75TER;;28 AVENUE CARNOT;75017;PARIS;01 43 22 33 25;48.875023049999996;2.29359006526498
450;75TRO;;28 AVENUE D EYLAU;75016;PARIS;01 47 27 64 35;48.8649043;2.2842595
451;75TER;;28 AVENUE DE FRIEDLAND;75017;PARIS;01 47 04 14 11;48.8744227;2.2996662
452;75TRO;;28 AVENUE DU PRESIDENT WILSON;75016;PARIS;;48.8642539;2.2913536
453;75TER;;28 AVENUE HOCHE;75017;PARIS;01 47 20 59 61;48.8761009;2.3001535
454;75TER;;28 PLACE ST FERDINAND;75017;PARIS;01 44 09 90 90;48.8782123;2.2882874
455;75GRE;;28 RUE DESAIX;75015;PARIS;01 45 75 40 16;48.8527571;2.2927785
456;75TRO;;28 RUE GUSTAVE COURBET;75016;PARIS;01 47 27 06 74;48.8671933;2.281063
457;75GRE;;28 RUE VIALA;75015;PARIS;01 45 77 38 29;48.850229;2.2895758
458;75MNP;;285 RUE DE VAUGIRARD;75015;PARIS;01 45 33 28 56;48.8394208;2.3011516
459;75INV;;29 AVENUE DE LOWENDAL;75007;PARIS;01 53 86 93 77;48.8489005;2.3033815
460;75GRE;;29 AVENUE DE SUFFREN;75015;PARIS;01 45 66 01 25;48.8553008;2.2946828
461;75ELY;;29 BIS RUE D ASTORG;75008;PARIS;01 43 12 31 00;48.8740337;2.3194293
462;75PAS;;29 RUE DAVIOUD;75016;PARIS;01 76 21 55 80;48.854956;2.2706705
463;92LEV;;29 RUE KLEBER;92300;LEVALLOIS PERRET;01 46 39 09 09;48.893331;2.2818203
464;75AUT;;29 RUE MIRABEAU;75016;PARIS;01 44 96 33 06;48.8461454;2.269894
465;75TRO;;29 RUE ST DIDIER;75016;PARIS;01 45 65 87 14;48.8663105;2.2858208
466;75VAU;;3 5 RUE EUGENE MILLON;75015;PARIS;01 45 65 61 11;48.8382926;2.2939007
467;75TRO;;3 AVENUE DU PRESIDENT WILSON;75016;PARIS;;48.8647953;2.2997065
468;75ELY;;3 AVENUE MONTAIGNE;75008;PARIS;01 44 17 80 20;48.8651498;2.3022858
469;92NEU;;3 BIS RUE SOYER;92200;NEUILLY-SUR-SEINE;01 84 11 83 20;48.887384;2.2619322
470;92LEV;;3 BOULEVARD BINEAU;92300;LEVALLOIS PERRET;01 84 00 70 07;48.8863456;2.2850202
471;75PAS;;3 BOULEVARD EMILE AUGIER;75016;PARIS;01 45 27 27 09;48.8587201;2.2730219
472;75TER;;3 RUE BALNY D AVRICOURT;75017;PARIS;01 43 80 71 05;48.8828332;2.2970589
473;92LEV;HÔP FRANCO-BRITANNIQUE;3 RUE BARBES;92300;LEVALLOIS PERRET;01 46 39 22 35;48.8901525;2.2810839
474;75AUT;;3 RUE CHARLES TELLIER;75016;PARIS;;48.8384939;2.2621299
475;75MNP;;3 RUE D ALLERAY;75015;PARIS;01 71 24 35 28;48.8388968;2.3004394
476;75GRE;;3 RUE D OUESSANT;75015;PARIS;01 47 83 54 87;48.8502958;2.296965
477;75GRE;;3 RUE DE BUENOS AIRES;75015;PARIS;01 45 30 66 95;48.8570084;2.2920512
478;75AUT;;3 RUE DE L AMIRAL CLOUE;75016;PARIS;01 45 27 15 53;48.8471913;2.2739288
479;75PAS;;3 RUE DE MONTEVIDEO;75016;PARIS;09 80 31 67 15;48.8681285;2.274591
480;75TER;;3 RUE DES TERNES;75017;PARIS;01 45 72 09 03;48.8808638;2.2885934
481;75VAU;;3 RUE EUGENE MILLON;75015;PARIS;01 45 65 61 21;48.8381664;2.2937974
482;75PER;;3 RUE GOUNOD;75017;PARIS;01 44 40 45 92;48.8827039;2.3007778
483;75INV;;3 RUE JEAN FERRANDI;75007;PARIS;01 43 35 18 71;48.847394;2.3231246
484;75INV;;3 RUE OUDINOT;75007;PARIS;01 43 06 11 16;48.8504011;2.3190605
485;75INV;;3 RUE ROUSSELET;75007;PARIS;01 57 02 29 81;48.8499056;2.3179215
486;75VAU;;3 SQUARE FREDERIC VALLOIS;75015;PARIS;01 48 56 21 72;48.8355613;2.3032161
487;75GRE;;3 SQUARE THEODORE JUDLIN;75015;PARIS;01 40 65 05 33;48.8488618;2.3008148
488;75ELY;;30 32 AVENUE DES CHAMPS ELYSEES;75008;PARIS;01 43 70 28 28;48.8659085;2.3197651
489;75TRO;;30 AVENUE DU PRESIDENT WILSON;75016;PARIS;01 53 70 43 21;48.8641952;2.2911329
490;75TER;;30 RUE BREY;75017;PARIS;01 43 80 83 53;48.8771084;2.2950833
491;75TRO;;30 RUE DE LUBECK;75016;PARIS;;48.8647315;2.2912034
492;75GRE;;30 RUE LETELLIER;75015;PARIS;01 45 71 00 11;48.8478553;2.2963047
493;92LEV;;30 RUE RASPAIL;92300;LEVALLOIS PERRET;09 73 05 56 03;48.8975757;2.2922048
494;75PER;;31 33 RUE HENRI ROCHEFORT;75017;PARIS;01 58 41 33 01;48.8821185;2.3076772
495;75INV;;31 AVENUE DE LA BOURDONNAIS;75007;PARIS;01 45 65 42 00;48.8588768;2.298554
496;75INV;;31 AVENUE DE LOWENDAL;75007;PARIS;01 40 44 39 46;48.8487897;2.3032244
497;75GRE;;31 AVENUE FELIX FAURE;75015;PARIS;01 40 60 10 17;48.8415313;2.2892307
498;75PAS;;31 RUE DE LA TOUR;75016;PARIS;01 42 88 80 90;48.8597597;2.2818367
499;75GRE;;31 RUE ROBERT DE FLERS;75015;PARIS;01 45 78 10 90;48.8486136;2.2831291
500;75ELY;;31 RUE TRONCHET;75008;PARIS;01 44 56 00 65;48.8729775;2.3264116
