nom;adr;cp;ville;tel;url
CENTRE INTERNATIONAL DE DERMATOLOGIE;12 RUE BARBES;92300;LEVALLOIS PERRET;;CENTRE INTERNATIONAL DE DERMATOLOGIE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0mjI5Mzuz.html
CENTRE DE SANTE MEDICAL M G E N;178 RUE DE VAUGIRARD;75015;PARIS;;CENTRE DE SANTE MEDICAL M G E N#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0mjM1OTS2.html
CENTRE DE SANTE HOPITAL ST JACQUES;37 RUE DES VOLONTAIRES;75015;PARIS;;CENTRE DE SANTE HOPITAL ST JACQUES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzK2.html
CTRE DE SANTE MEDICO DENTAIRE J SENET;12 RUE ARMAND MOISANT;75015;PARIS;;CTRE DE SANTE MEDICO DENTAIRE J SENET#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNzS1.html
CENTRE DE SANTE MEDICAL ET DENTAIRE;10 RUE VIALA;75015;PARIS;;CENTRE DE SANTE MEDICAL ET DENTAIRE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMwNDq6.html
CMS SOEURS ST VINCENT DE PAUL;40 RUE MIOLLIS;75015;PARIS;;CMS SOEURS ST VINCENT DE PAUL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzW7.html
CENTRE DE SANTE MEDICAL AFF ETRANGERES;27 RUE DE LA CONVENTION;75015;PARIS;;CENTRE DE SANTE MEDICAL AFF ETRANGERES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzG6.html
CENTRE DE SANTE MEDICAL SAN FERNANDO;121 BOULEVARD BINEAU;92200;NEUILLY SUR SEINE;;CENTRE DE SANTE MEDICAL SAN FERNANDO#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0kjMxNTey.html
CENTRE DE SANTE POLYVALENT MIROMESNIL;6 AVE CESAR CAIRE;75008;PARIS;;CENTRE DE SANTE POLYVALENT MIROMESNIL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMxNTe3.html
CENTRE DE SANTE SAINT LAZARE;13 RUE DE LA PEPINIERE;75008;PARIS;;CENTRE DE SANTE SAINT LAZARE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNjO7.html
CENTRE INTERNATIONAL DE DERMATOLOGIE;12 RUE BARBES;92300;LEVALLOIS PERRET;;CENTRE INTERNATIONAL DE DERMATOLOGIE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0mjI5Mzuz.html
CENTRE DE SANTE HOPITAL ST JACQUES;37 RUE DES VOLONTAIRES;75015;PARIS;;CENTRE DE SANTE HOPITAL ST JACQUES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzK2.html
CTRE DE SANTE MEDICO DENTAIRE J SENET;12 RUE ARMAND MOISANT;75015;PARIS;;CTRE DE SANTE MEDICO DENTAIRE J SENET#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNzS1.html
CENTRE DE SANTE MEDICAL AFF ETRANGERES;27 RUE DE LA CONVENTION;75015;PARIS;;CENTRE DE SANTE MEDICAL AFF ETRANGERES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzG6.html
CENTRE DE SANTE MEDICAL ET DENTAIRE;10 RUE VIALA;75015;PARIS;;CENTRE DE SANTE MEDICAL ET DENTAIRE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMwNDq6.html
CMS SOEURS ST VINCENT DE PAUL;40 RUE MIOLLIS;75015;PARIS;;CMS SOEURS ST VINCENT DE PAUL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzW7.html
CENTRE DE SANTE MEDICAL M G E N;178 RUE DE VAUGIRARD;75015;PARIS;;CENTRE DE SANTE MEDICAL M G E N#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0mjM1OTS2.html
CENTRE DE SANTE MEDICAL SAN FERNANDO;121 BOULEVARD BINEAU;92200;NEUILLY SUR SEINE;;CENTRE DE SANTE MEDICAL SAN FERNANDO#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0kjMxNTey.html
CENTRE DE SANTE SAINT LAZARE;13 RUE DE LA PEPINIERE;75008;PARIS;;CENTRE DE SANTE SAINT LAZARE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNjO7.html
CENTRE DE SANTE POLYVALENT MIROMESNIL;6 AVE CESAR CAIRE;75008;PARIS;;CENTRE DE SANTE POLYVALENT MIROMESNIL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMxNTe3.html
CENTRE INTERNATIONAL DE DERMATOLOGIE;12 RUE BARBES;92300;LEVALLOIS PERRET;;CENTRE INTERNATIONAL DE DERMATOLOGIE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0mjI5Mzuz.html
CENTRE DE SANTE MEDICAL ET DENTAIRE;10 RUE VIALA;75015;PARIS;;CENTRE DE SANTE MEDICAL ET DENTAIRE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMwNDq6.html
CMS SOEURS ST VINCENT DE PAUL;40 RUE MIOLLIS;75015;PARIS;;CMS SOEURS ST VINCENT DE PAUL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzW7.html
CTRE DE SANTE MEDICO DENTAIRE J SENET;12 RUE ARMAND MOISANT;75015;PARIS;;CTRE DE SANTE MEDICO DENTAIRE J SENET#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNzS1.html
CENTRE DE SANTE MEDICAL AFF ETRANGERES;27 RUE DE LA CONVENTION;75015;PARIS;;CENTRE DE SANTE MEDICAL AFF ETRANGERES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzG6.html
CENTRE DE SANTE HOPITAL ST JACQUES;37 RUE DES VOLONTAIRES;75015;PARIS;;CENTRE DE SANTE HOPITAL ST JACQUES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzK2.html
CENTRE DE SANTE MEDICAL M G E N;178 RUE DE VAUGIRARD;75015;PARIS;;CENTRE DE SANTE MEDICAL M G E N#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0mjM1OTS2.html
CENTRE DE SANTE MEDICAL SAN FERNANDO;121 BOULEVARD BINEAU;92200;NEUILLY SUR SEINE;;CENTRE DE SANTE MEDICAL SAN FERNANDO#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0kjMxNTey.html
CENTRE DE SANTE SAINT LAZARE;13 RUE DE LA PEPINIERE;75008;PARIS;;CENTRE DE SANTE SAINT LAZARE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNjO7.html
CENTRE DE SANTE POLYVALENT MIROMESNIL;6 AVE CESAR CAIRE;75008;PARIS;;CENTRE DE SANTE POLYVALENT MIROMESNIL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMxNTe3.html
CENTRE INTERNATIONAL DE DERMATOLOGIE;12 RUE BARBES;92300;LEVALLOIS PERRET;;CENTRE INTERNATIONAL DE DERMATOLOGIE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0mjI5Mzuz.html
CTRE DE SANTE MEDICO DENTAIRE J SENET;12 RUE ARMAND MOISANT;75015;PARIS;;CTRE DE SANTE MEDICO DENTAIRE J SENET#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNzS1.html
CENTRE DE SANTE MEDICAL AFF ETRANGERES;27 RUE DE LA CONVENTION;75015;PARIS;;CENTRE DE SANTE MEDICAL AFF ETRANGERES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzG6.html
CMS SOEURS ST VINCENT DE PAUL;40 RUE MIOLLIS;75015;PARIS;;CMS SOEURS ST VINCENT DE PAUL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzW7.html
CENTRE DE SANTE MEDICAL M G E N;178 RUE DE VAUGIRARD;75015;PARIS;;CENTRE DE SANTE MEDICAL M G E N#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0mjM1OTS2.html
CENTRE DE SANTE MEDICAL ET DENTAIRE;10 RUE VIALA;75015;PARIS;;CENTRE DE SANTE MEDICAL ET DENTAIRE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMwNDq6.html
CENTRE DE SANTE HOPITAL ST JACQUES;37 RUE DES VOLONTAIRES;75015;PARIS;;CENTRE DE SANTE HOPITAL ST JACQUES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzK2.html
CENTRE DE SANTE MEDICAL SAN FERNANDO;121 BOULEVARD BINEAU;92200;NEUILLY SUR SEINE;;CENTRE DE SANTE MEDICAL SAN FERNANDO#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0kjMxNTey.html
CENTRE DE SANTE POLYVALENT MIROMESNIL;6 AVE CESAR CAIRE;75008;PARIS;;CENTRE DE SANTE POLYVALENT MIROMESNIL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMxNTe3.html
CENTRE DE SANTE SAINT LAZARE;13 RUE DE LA PEPINIERE;75008;PARIS;;CENTRE DE SANTE SAINT LAZARE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNjO7.html
CENTRE INTERNATIONAL DE DERMATOLOGIE;12 RUE BARBES;92300;LEVALLOIS PERRET;;CENTRE INTERNATIONAL DE DERMATOLOGIE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0mjI5Mzuz.html
CENTRE DE SANTE MEDICAL AFF ETRANGERES;27 RUE DE LA CONVENTION;75015;PARIS;;CENTRE DE SANTE MEDICAL AFF ETRANGERES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzG6.html
CTRE DE SANTE MEDICO DENTAIRE J SENET;12 RUE ARMAND MOISANT;75015;PARIS;;CTRE DE SANTE MEDICO DENTAIRE J SENET#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNzS1.html
CENTRE DE SANTE HOPITAL ST JACQUES;37 RUE DES VOLONTAIRES;75015;PARIS;;CENTRE DE SANTE HOPITAL ST JACQUES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzK2.html
CENTRE DE SANTE MEDICAL M G E N;178 RUE DE VAUGIRARD;75015;PARIS;;CENTRE DE SANTE MEDICAL M G E N#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0mjM1OTS2.html
CENTRE DE SANTE MEDICAL ET DENTAIRE;10 RUE VIALA;75015;PARIS;;CENTRE DE SANTE MEDICAL ET DENTAIRE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMwNDq6.html
CMS SOEURS ST VINCENT DE PAUL;40 RUE MIOLLIS;75015;PARIS;;CMS SOEURS ST VINCENT DE PAUL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzW7.html
CENTRE DE SANTE MEDICAL SAN FERNANDO;121 BOULEVARD BINEAU;92200;NEUILLY SUR SEINE;;CENTRE DE SANTE MEDICAL SAN FERNANDO#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0kjMxNTey.html
CENTRE DE SANTE SAINT LAZARE;13 RUE DE LA PEPINIERE;75008;PARIS;;CENTRE DE SANTE SAINT LAZARE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNjO7.html
CENTRE DE SANTE POLYVALENT MIROMESNIL;6 AVE CESAR CAIRE;75008;PARIS;;CENTRE DE SANTE POLYVALENT MIROMESNIL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMxNTe3.html
CENTRE INTERNATIONAL DE DERMATOLOGIE;12 RUE BARBES;92300;LEVALLOIS PERRET;;CENTRE INTERNATIONAL DE DERMATOLOGIE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0mjI5Mzuz.html
CENTRE DE SANTE MEDICAL M G E N;178 RUE DE VAUGIRARD;75015;PARIS;;CENTRE DE SANTE MEDICAL M G E N#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0mjM1OTS2.html
CENTRE DE SANTE MEDICAL ET DENTAIRE;10 RUE VIALA;75015;PARIS;;CENTRE DE SANTE MEDICAL ET DENTAIRE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMwNDq6.html
CTRE DE SANTE MEDICO DENTAIRE J SENET;12 RUE ARMAND MOISANT;75015;PARIS;;CTRE DE SANTE MEDICO DENTAIRE J SENET#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNzS1.html
CENTRE DE SANTE HOPITAL ST JACQUES;37 RUE DES VOLONTAIRES;75015;PARIS;;CENTRE DE SANTE HOPITAL ST JACQUES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzK2.html
CENTRE DE SANTE MEDICAL AFF ETRANGERES;27 RUE DE LA CONVENTION;75015;PARIS;;CENTRE DE SANTE MEDICAL AFF ETRANGERES#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzG6.html
CMS SOEURS ST VINCENT DE PAUL;40 RUE MIOLLIS;75015;PARIS;;CMS SOEURS ST VINCENT DE PAUL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzMzW7.html
CENTRE DE SANTE MEDICAL SAN FERNANDO;121 BOULEVARD BINEAU;92200;NEUILLY SUR SEINE;;CENTRE DE SANTE MEDICAL SAN FERNANDO#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-CbA0kjMxNTey.html
CENTRE DE SANTE SAINT LAZARE;13 RUE DE LA PEPINIERE;75008;PARIS;;CENTRE DE SANTE SAINT LAZARE#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMzNjO7.html
CENTRE DE SANTE POLYVALENT MIROMESNIL;6 AVE CESAR CAIRE;75008;PARIS;;CENTRE DE SANTE POLYVALENT MIROMESNIL#https://annuairesante.ameli.fr/professionnels-de-sante/centre-sante/recherche/fiche-detaillee-B7c0kjMxNTe3.html
